date,requests
2017/10/3,20
2017/10/4,33
2017/10/5,33
2017/10/6,23
2017/10/7,12
2017/10/8,34
2017/10/9,23
2017/10/10,535
2017/10/11,434
2017/10/12,23
2017/10/13,34
2017/10/14,45
2017/10/15,56
2017/10/16,54
2017/10/17,52
2017/10/18,58
2017/10/19,53
2017/10/20,87
2017/10/21,98
2017/10/22,53
2017/10/23,111
2017/10/24,119
2017/10/25,156
2017/10/26,178
2017/10/27,188
2017/10/28,190
2017/10/29,378
2017/10/30,356
2017/10/31,389
2017/11/1,389
2017/11/2,309
2017/11/3,389
2017/11/4,300
2017/11/5,444
2017/11/6,440
2017/11/7,490
2017/11/8,487
2017/11/9,489
2017/11/10,509
2017/11/11,520
2017/11/12,530
2017/11/13,543
2017/11/14,544
