date,requests
2017/10/3,45
2017/10/4,49
2017/10/5,53
2017/10/6,57
2017/10/7,61
2017/10/8,65
2017/10/9,69
2017/10/10,73
2017/10/11,77
2017/10/12,81
2017/10/13,85
2017/10/14,89
2017/10/15,93
2017/10/16,97
2017/10/17,101
2017/10/18,105
2017/10/19,109
2017/10/20,113
2017/10/21,117
2017/10/22,121
2017/10/23,125
2017/10/24,129
2017/10/25,133
2017/10/26,137
2017/10/27,141
2017/10/28,145
2017/10/29,149
2017/10/30,153
2017/10/31,157
2017/11/1,161
2017/11/2,165
2017/11/3,169
2017/11/4,173
2017/11/5,177
2017/11/6,181
2017/11/7,185
2017/11/8,189
2017/11/9,193
2017/11/10,197
2017/11/11,201
2017/11/12,205
2017/11/13,209
2017/11/14,213
