date,requests
2017/10/3,78
2017/10/4,83
2017/10/5,88
2017/10/6,93
2017/10/7,98
2017/10/8,103
2017/10/9,108
2017/10/10,113
2017/10/11,118
2017/10/12,123
2017/10/13,128
2017/10/14,133
2017/10/15,138
2017/10/16,143
2017/10/17,148
2017/10/18,153
2017/10/19,158
2017/10/20,163
2017/10/21,168
2017/10/22,173
2017/10/23,178
2017/10/24,183
2017/10/25,188
2017/10/26,193
2017/10/27,198
2017/10/28,203
2017/10/29,208
2017/10/30,213
2017/10/31,218
2017/11/1,223
2017/11/2,228
2017/11/3,233
2017/11/4,238
2017/11/5,243
2017/11/6,248
2017/11/7,253
2017/11/8,258
2017/11/9,263
2017/11/10,268
2017/11/11,273
2017/11/12,278
2017/11/13,283
2017/11/14,288
